Account_No,Age,Gender,EducationLevel,Marital_Status,Account_Type,No_Of_Linked_Accounts,No_Of_Months_On_Bank,Has_Credit_Card,Credit_Score,Estimated_Income,Balance_Amount
4998365300,45,Male,High School,Married,Savings,1,42,Yes,619,60K - 80K,1000000
4998365301,49,Female,Graduate,Single,Savings,1,41,No,608,Less than 40K,2000000
4998365302,51,Male,Graduate,Married,Savings,3,42,Yes,502,80K - 120K,2500000
4998365303,40,Female,High School,,Savings,2,39,No,699,Less than 40K,5500000
4998365304,40,Male,Uneducated,Married,Savings,1,43,Yes,850,60K - 80K,6000000
4998365305,44,Male,Graduate,Married,Savings,2,44,Yes,645,40K - 60K,6500000
4998365306,51,Male,Unknown,Married,Salary,2,50,Yes,822,120K +,7000000
4998365307,32,Male,High School,,Current,4,29,Yes,376,60K - 80K,7500000
4998365308,37,Male,Uneducated,Single,Savings,2,44,No,501,60K - 80K,8000000
4998365309,48,Male,Graduate,Single,Savings,1,27,Yes,684,80K - 120K,8500000
4998365310,42,Male,Uneducated,,Savings,2,31,No,528,120K +,8366100
4998365311,65,Male,Unknown,Married,Savings,2,24,Yes,497,40K - 60K,8348100
4998365312,56,Male,College,Single,Savings,,34,Yes,476,80K - 120K,8343100
4998365313,35,Male,Graduate,,Savings,2,25,No,549,60K - 80K,8147300
4998365314,57,Female,Graduate,Married,Savings,2,35,Yes,635,Less than 40K,8065700
4998365315,44,Male,Unknown,,Savings,2,45,No,616,80K - 120K,8023900
4998365316,48,Male,Post-Graduate,Single,Savings,1,58,Yes,653,80K - 120K,7925400
4998365317,41,Male,Unknown,Married,Savings,2,24,Yes,549,80K - 120K,7781600
4998365318,61,Male,High School,Married,Savings,1,45,No,587,40K - 60K,7449950
4998365319,45,Female,Graduate,Married,Savings,2,24,Yes,726,Unknown,7320950
4998365320,47,Male,Doctorate,Divorced,Savings,2,41,Yes,732,60K - 80K,7090937
4998365321,62,Female,Graduate,Married,Savings,2,32,Yes,636,Less than 40K,6723037
4998365322,41,Male,High School,Married,,1,38,Yes,510,40K - 60K,6615037
4998365323,,Female,Unknown,Single,Savings,2,46,No,669,Less than 40K,6550237
4998365324,54,Male,Unknown,Married,Savings,1,38,Yes,846,80K - 120K,6409237
4998365325,41,Female,Graduate,Single,Savings,2,25,No,577,Less than 40K,6347487
4998365326,59,Male,High School,Unknown,Savings,1,36,Yes,756,40K - 60K,6279567
4998365327,63,Male,Unknown,Married,Savings,2,44,No,571,60K - 80K,6201467
4998365328,44,Female,Uneducated,Single,Savings,1,43,Yes,574,Unknown,6165817
4998365329,47,Male,High School,Married,Savings,2,29,Yes,411,40K - 60K,5959817
4998365330,53,Male,Unknown,Married,Savings,3,39,Yes,591,80K - 120K,5924517
4998365331,53,Male,Uneducated,Married,Savings,1,36,No,533,60K - 80K,5874717
4998365332,41,Male,Graduate,Married,Savings,2,41,No,553,60K - 80K,5821717
4998365333,53,Female,College,Married,Savings,2,42,Yes,520,Less than 40K,5730417
4998365334,58,Male,Graduate,Married,Savings,2,29,Yes,722,80K - 120K,5672918
4998365335,55,Female,College,Single,Savings,1,45,Yes,475,Less than 40K,5652918
4998365336,55,Female,Graduate,Married,Savings,1,31,No,490,Less than 40K,5633518
4998365337,42,Female,High School,Married,Salary,1,33,No,804,Less than 40K,5593018
4998365338,57,Female,Graduate,Unknown,Savings,1,36,Yes,850,40K - 60K,5350718
4998365339,66,Female,Doctorate,Married,Savings,2,41,No,582,Unknown,5260618
4998365340,45,Male,Graduate,Single,Savings,1,40,Yes,472,80K - 120K,5147368
4998365341,51,Male,Unknown,Married,Savings,1,51,No,465,40K - 60K,5134868
4998365342,50,Female,College,Single,Current,1,61,Yes,556,40K - 60K,5094868
4998365343,49,Male,High School,Married,Savings,1,49,No,834,60K - 80K,4887968
4998365344,38,Female,Graduate,Single,Savings,1,61,Yes,660,Unknown,4611968
4998365345,49,Male,Uneducated,Single,Savings,2,32,Yes,776,80K - 120K,4440968
4998365346,56,Male,Doctorate,Married,Savings,1,27,Yes,829,60K - 80K,4400868
4998365347,59,Male,Doctorate,Married,Savings,1,39,Yes,637,40K - 60K,4211068
4998365348,46,Male,High School,Married,,1,38,No,550,80K - 120K,4155268
4998365349,52,Male,College,Single,Savings,2,37,Yes,776,80K - 120K,4059868
4998365350,52,Female,Unknown,Married,Savings,2,44,Yes,698,Less than 40K,3788545
4998365351,54,Female,Graduate,Married,Savings,2,36,No,585,Less than 40K,3587945
4998365352,,Female,High School,Married,Savings,2,33,No,788,Less than 40K,3411045
4998365353,49,Male,Unknown,Married,Savings,1,41,No,655,120K +,3260995
4998365354,56,Male,Graduate,Married,Savings,1,42,Yes,601,120K +,3178495
4998365355,49,Female,Graduate,Unknown,Savings,1,43,Yes,619,Less than 40K,3163695
4998365356,49,Female,Graduate,Single,Savings,1,45,Yes,656,Less than 40K,3013095
4998365357,56,Male,Uneducated,Married,Savings,1,19,No,725,40K - 60K,2809770
4998365358,44,Female,Graduate,Married,Savings,1,66,Yes,511,Unknown,2685870
4998365359,42,Male,High School,Single,Savings,1,51,Yes,614,60K - 80K,2652007
4998365360,55,Male,Unknown,Married,Savings,1,35,No,742,80K - 120K,2620007
4998365361,48,Male,Graduate,Married,Current,2,27,No,687,60K - 80K,2611708
4998365362,39,Male,High School,Divorced,Savings,2,33,No,555,60K - 80K,2559489
4998365363,44,Male,Post-Graduate,Single,Savings,1,56,Yes,684,120K +,2463039
4998365364,53,Male,High School,Single,Savings,1,26,Yes,603,120K +,2323176
4998365365,51,Male,Uneducated,Single,Current,2,36,Yes,751,80K - 120K,2270453
4998365366,57,Male,College,Married,Savings,1,34,Yes,581,60K - 80K,2193202
4998365367,44,Female,Uneducated,Single,Savings,2,43,Yes,735,Less than 40K,2173202
4998365368,49,Male,Graduate,Married,Savings,2,35,No,661,60K - 80K,2163202
4998365369,50,Male,Doctorate,Married,Savings,1,21,Yes,675,80K - 120K,2059602
4998365370,51,Male,Graduate,Single,Savings,4,58,Yes,738,120K +,1988602
4998365371,55,Female,Graduate,Married,Savings,1,29,Yes,813,Less than 40K,1859202
4998365372,54,Male,Graduate,Unknown,Savings,1,37,No,657,60K - 80K,1569039
4998365373,42,Male,Uneducated,Married,Savings,2,25,Yes,604,80K - 120K,1534739
4998365374,44,Male,College,Single,Savings,2,36,No,519,60K - 80K,1484939
4998365375,53,Male,Graduate,Single,Savings,2,21,Yes,735,80K - 120K,1440139
4998365376,44,Female,Graduate,Single,Savings,2,55,Yes,664,Less than 40K,1288589
4998365377,37,Female,Uneducated,Single,Savings,1,32,Yes,678,Less than 40K,978190
4998365378,49,Male,Graduate,Divorced,Savings,1,33,No,757,60K - 80K,706789
4998365379,47,Male,Graduate,Married,Savings,2,41,Yes,416,80K - 120K,431340
4998365380,47,Male,Graduate,Married,Savings,2,34,No,665,60K - 80K,379838
4998365381,44,Male,Unknown,Unknown,Savings,1,32,Yes,777,120K +,343188
4998365382,55,Female,Unknown,Married,Savings,2,36,No,543,40K - 60K,243588
4998365383,59,Female,Graduate,Married,Savings,1,34,Yes,506,Unknown,743588
4998365384,53,Male,Graduate,Divorced,Savings,2,46,Yes,493,80K - 120K,1243588
4998365385,52,Male,Graduate,Married,Savings,2,75,Yes,652,60K - 80K,1743588
4998365386,53,Male,High School,Single,Savings,1,22,Yes,750,120K +,2243588
4998365387,43,Female,Uneducated,Single,Savings,2,30,Yes,729,Less than 40K,2743588
